"Fx0"	"z"	"Lx0"
7.99403429005438e-14	0.045	3.805926126618e+41
7.99403429005438e-14	0.045	3.805926126618e+41
8.76528429826559e-14	0.045	4.17311501396832e+41
8.76528429826559e-14	0.045	4.17311501396832e+41
8.76528429826559e-14	0.045	4.17311501396832e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
9.61094311604443e-14	0.045	4.57572962281402e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.05381895711152e-13	0.045	5.01718776286205e+41
1.15548950915513e-13	0.045	5.50123698793468e+41
1.15548950915513e-13	0.045	5.50123698793468e+41
1.15548950915513e-13	0.045	5.50123698793468e+41
1.15548950915513e-13	0.045	5.50123698793468e+41
1.15548950915513e-13	0.045	5.50123698793468e+41
1.2669690526608e-13	0.045	6.03198640908683e+41
1.2669690526608e-13	0.045	6.03198640908683e+41
1.2669690526608e-13	0.045	6.03198640908683e+41
1.2669690526608e-13	0.045	6.03198640908683e+41
1.38920394143076e-13	0.045	6.61394157699573e+41
1.38920394143076e-13	0.045	6.61394157699573e+41
1.38920394143076e-13	0.045	6.61394157699573e+41
1.38920394143076e-13	0.045	6.61394157699573e+41
1.38920394143076e-13	0.045	6.61394157699573e+41
1.523231831775e-13	0.045	7.25204272974069e+41
1.523231831775e-13	0.045	7.25204272974069e+41
1.523231831775e-13	0.045	7.25204272974069e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.67019049121253e-13	0.045	7.95170673065937e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
1.83132745702022e-13	0.045	8.718873052293e+41
2.00801062662101e-13	0.045	9.56005419677965e+41
2.00801062662101e-13	0.045	9.56005419677965e+41
2.00801062662101e-13	0.045	9.56005419677965e+41
2.20173986971375e-13	0.045	1.0482390980716e+42
2.20173986971375e-13	0.045	1.0482390980716e+42
2.20173986971375e-13	0.045	1.0482390980716e+42
2.41415976072027e-13	0.045	1.14937131538031e+42
2.64707353963602e-13	0.045	1.26026058658692e+42
2.64707353963602e-13	0.045	1.26026058658692e+42
2.90245841979846e-13	0.045	1.38184825465118e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.18248237252121e-13	0.045	1.51516648160353e+42
3.82618537027909e-13	0.045	1.82163077335633e+42
3.82618537027909e-13	0.045	1.82163077335633e+42
3.82618537027909e-13	0.045	1.82163077335633e+42
3.82618537027909e-13	0.045	1.82163077335633e+42
3.82618537027909e-13	0.045	1.82163077335633e+42
4.19532883291306e-13	0.045	1.99737842440866e+42
